Var1,Var2,Var3,Var4,Freq
2016,0,Agincourt North (129),0,2
2017,0,Agincourt North (129),0,7
2018,0,Agincourt North (129),0,2
2019,0,Agincourt North (129),0,2
2020,0,Agincourt North (129),0,6
2016,1,Agincourt North (129),0,0
2017,1,Agincourt North (129),0,0
2018,1,Agincourt North (129),0,0
2019,1,Agincourt North (129),0,0
2020,1,Agincourt North (129),0,0
2016,2,Agincourt North (129),0,0
2017,2,Agincourt North (129),0,0
2018,2,Agincourt North (129),0,0
2019,2,Agincourt North (129),0,0
2020,2,Agincourt North (129),0,0
2016,3,Agincourt North (129),0,0
2017,3,Agincourt North (129),0,0
2018,3,Agincourt North (129),0,0
2019,3,Agincourt North (129),0,0
2020,3,Agincourt North (129),0,0
2016,0,Agincourt South-Malvern West (128),0,5
2017,0,Agincourt South-Malvern West (128),0,8
2018,0,Agincourt South-Malvern West (128),0,9
2019,0,Agincourt South-Malvern West (128),0,10
2020,0,Agincourt South-Malvern West (128),0,6
2016,1,Agincourt South-Malvern West (128),0,0
2017,1,Agincourt South-Malvern West (128),0,0
2018,1,Agincourt South-Malvern West (128),0,0
2019,1,Agincourt South-Malvern West (128),0,0
2020,1,Agincourt South-Malvern West (128),0,1
2016,2,Agincourt South-Malvern West (128),0,0
2017,2,Agincourt South-Malvern West (128),0,0
2018,2,Agincourt South-Malvern West (128),0,0
2019,2,Agincourt South-Malvern West (128),0,0
2020,2,Agincourt South-Malvern West (128),0,0
2016,3,Agincourt South-Malvern West (128),0,0
2017,3,Agincourt South-Malvern West (128),0,0
2018,3,Agincourt South-Malvern West (128),0,0
2019,3,Agincourt South-Malvern West (128),0,0
2020,3,Agincourt South-Malvern West (128),0,0
2016,0,Alderwood (20),0,1
2017,0,Alderwood (20),0,3
2018,0,Alderwood (20),0,1
2019,0,Alderwood (20),0,3
2020,0,Alderwood (20),0,1
2016,1,Alderwood (20),0,0
2017,1,Alderwood (20),0,0
2018,1,Alderwood (20),0,0
2019,1,Alderwood (20),0,0
2020,1,Alderwood (20),0,0
2016,2,Alderwood (20),0,0
2017,2,Alderwood (20),0,0
2018,2,Alderwood (20),0,0
2019,2,Alderwood (20),0,0
2020,2,Alderwood (20),0,0
2016,3,Alderwood (20),0,0
2017,3,Alderwood (20),0,0
2018,3,Alderwood (20),0,0
2019,3,Alderwood (20),0,0
2020,3,Alderwood (20),0,0
2016,0,Annex (95),0,9
2017,0,Annex (95),0,17
2018,0,Annex (95),0,19
2019,0,Annex (95),0,10
2020,0,Annex (95),0,8
2016,1,Annex (95),0,0
2017,1,Annex (95),0,0
2018,1,Annex (95),0,0
2019,1,Annex (95),0,0
2020,1,Annex (95),0,0
2016,2,Annex (95),0,0
2017,2,Annex (95),0,0
2018,2,Annex (95),0,0
2019,2,Annex (95),0,0
2020,2,Annex (95),0,0
2016,3,Annex (95),0,0
2017,3,Annex (95),0,0
2018,3,Annex (95),0,0
2019,3,Annex (95),0,0
2020,3,Annex (95),0,0
2016,0,Banbury-Don Mills (42),0,8
2017,0,Banbury-Don Mills (42),0,5
2018,0,Banbury-Don Mills (42),0,7
2019,0,Banbury-Don Mills (42),0,12
2020,0,Banbury-Don Mills (42),0,10
2016,1,Banbury-Don Mills (42),0,0
2017,1,Banbury-Don Mills (42),0,0
2018,1,Banbury-Don Mills (42),0,0
2019,1,Banbury-Don Mills (42),0,0
2020,1,Banbury-Don Mills (42),0,0
2016,2,Banbury-Don Mills (42),0,0
2017,2,Banbury-Don Mills (42),0,0
2018,2,Banbury-Don Mills (42),0,0
2019,2,Banbury-Don Mills (42),0,0
2020,2,Banbury-Don Mills (42),0,0
2016,3,Banbury-Don Mills (42),0,0
2017,3,Banbury-Don Mills (42),0,0
2018,3,Banbury-Don Mills (42),0,0
2019,3,Banbury-Don Mills (42),0,0
2020,3,Banbury-Don Mills (42),0,0
2016,0,Bathurst Manor (34),0,4
2017,0,Bathurst Manor (34),0,2
2018,0,Bathurst Manor (34),0,1
2019,0,Bathurst Manor (34),0,7
2020,0,Bathurst Manor (34),0,2
2016,1,Bathurst Manor (34),0,0
2017,1,Bathurst Manor (34),0,0
2018,1,Bathurst Manor (34),0,0
2019,1,Bathurst Manor (34),0,0
2020,1,Bathurst Manor (34),0,0
2016,2,Bathurst Manor (34),0,0
2017,2,Bathurst Manor (34),0,0
2018,2,Bathurst Manor (34),0,0
2019,2,Bathurst Manor (34),0,0
2020,2,Bathurst Manor (34),0,0
2016,3,Bathurst Manor (34),0,0
2017,3,Bathurst Manor (34),0,0
2018,3,Bathurst Manor (34),0,0
2019,3,Bathurst Manor (34),0,0
2020,3,Bathurst Manor (34),0,0
2016,0,Bay Street Corridor (76),0,10
2017,0,Bay Street Corridor (76),0,26
2018,0,Bay Street Corridor (76),0,28
2019,0,Bay Street Corridor (76),0,23
2020,0,Bay Street Corridor (76),0,7
2016,1,Bay Street Corridor (76),0,0
2017,1,Bay Street Corridor (76),0,0
2018,1,Bay Street Corridor (76),0,0
2019,1,Bay Street Corridor (76),0,0
2020,1,Bay Street Corridor (76),0,0
2016,2,Bay Street Corridor (76),0,0
2017,2,Bay Street Corridor (76),0,0
2018,2,Bay Street Corridor (76),0,0
2019,2,Bay Street Corridor (76),0,0
2020,2,Bay Street Corridor (76),0,0
